salesOrderId,DN code,timestamp,salesWaybillId
7486,DN2025100121,2025-10-01T09:29:46.068432,
7487,DN2025100122,2025-10-01T09:29:48.952996,
7488,DN2025100123,2025-10-01T09:29:52.790540,
7489,DN2025100124,2025-10-01T09:29:56.094998,
